,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
104,Furkan Korkmaz,4,0,7,0,3,0,6,0,0,0.0,0,0.0
105,DeAndre Jordan,6,0,33,3,5,0,9,1,3,5.26,1,1.75
106,Jordan Clarkson,3,0,19,1,6,0,36,2,1,1.49,2,2.99
107,Goran Dragic,13,1,35,1,13,1,37,5,2,1.89,6,5.66
108,Caleb Swanigan,0,0,7,0,0,0,2,0,0,0.0,0,0.0
109,Danilo Gallinari,5,1,44,2,18,1,42,2,3,2.61,3,2.61
110,Abdel Nader,0,0,5,0,1,0,4,0,0,0.0,0,0.0
111,Stephen Curry,6,0,14,2,14,1,45,4,3,3.49,4,4.65
112,Derrick White,12,0,42,2,13,0,57,3,2,1.55,3,2.33
113,Andrew Wiggins,6,1,22,5,4,0,35,1,5,6.76,2,2.7
114,Raptors,2,0,0,0,6,0,11,4,0,0.0,4,17.39
115,Caris LeVert,8,0,19,1,7,0,34,2,1,1.41,2,2.82
116,Brad Wanamaker,2,0,4,0,1,0,2,0,0,0.0,0,0.0
117,Deandre Ayton,10,1,31,1,7,0,17,0,1,1.49,1,1.49
118,Josh Richardson,11,0,41,3,10,0,36,3,3,2.88,3,2.88
119,Fred VanVleet,6,2,54,4,15,1,52,1,5,3.7,3,2.22
120,Josh Hart,17,0,16,1,6,0,18,1,1,1.69,1,1.69
121,Frank Mason,0,0,1,0,0,0,4,0,0,0.0,0,0.0
122,Kelly Olynyk,8,0,11,1,2,0,13,1,1,2.78,1,2.78
123,Kings,0,0,1,0,4,0,8,7,0,0.0,7,35.0
124,Collin Sexton,18,0,30,1,20,1,75,7,2,1.32,7,4.61
125,OG Anunoby,10,2,31,2,6,0,21,0,2,2.78,2,2.78
126,Jae Crowder,14,0,49,1,11,0,28,2,1,0.95,2,1.9
127,Alex Poythress,2,0,3,0,1,0,3,1,0,0.0,1,10.0
128,Kris Dunn,13,1,32,4,10,0,34,2,4,4.17,3,3.13
129,Rajon Rondo,1,0,6,0,0,0,5,1,0,0.0,1,7.69
130,PJ Dozier,2,0,5,0,2,0,5,0,0,0.0,0,0.0
131,Kelly Oubre Jr.,9,2,33,4,10,0,29,4,4,4.4,6,6.59
132,Ivica Zubac,1,0,4,0,0,0,7,0,0,0.0,0,0.0
133,Troy Daniels,0,0,4,0,0,0,3,0,0,0.0,0,0.0
134,Torrey Craig,9,0,24,1,3,0,22,0,1,1.69,0,0.0
135,Darius Bazley,0,0,1,0,1,0,5,0,0,0.0,0,0.0
136,Chris Paul,24,0,85,10,29,1,87,4,11,4.58,4,1.67
137,Marcus Smart,18,0,46,4,9,1,61,1,5,3.57,1,0.71
138,Kemba Walker,7,1,35,1,18,2,69,2,3,2.22,3,2.22
139,John Jenkins,0,0,1,0,0,0,4,0,0,0.0,0,0.0
140,J.J. Barea,0,0,3,1,0,0,2,0,1,16.67,0,0.0
141,Tyreke Evans,1,0,1,0,0,0,2,0,0,0.0,0,0.0
142,Tyler Dorsey,0,0,2,0,2,0,8,0,0,0.0,0,0.0
143,Justin James,2,0,0,0,0,0,0,0,0,0.0,0,0.0
144,Reggie Bullock,3,0,9,0,2,0,7,0,0,0.0,0,0.0
145,Meyers Leonard,0,0,11,1,2,0,6,0,1,5.0,0,0.0
146,Mike Conley,6,0,29,1,14,2,39,1,3,3.26,1,1.09
147,P.J. Tucker,11,1,35,3,2,1,23,0,4,5.26,1,1.32
148,Frank Jackson,2,0,16,0,3,0,12,0,0,0.0,0,0.0
149,Treveon Graham,2,0,9,1,1,0,16,1,1,3.33,1,3.33
150,Michael Kidd-Gilchrist,0,0,2,0,0,0,4,0,0,0.0,0,0.0
151,Jeff Teague,5,0,7,0,4,0,15,1,0,0.0,1,3.13
152,De'Anthony Melton,2,0,3,0,4,1,5,0,1,6.67,0,0.0
153,Chris Boucher,0,0,1,0,2,0,0,0,0,0.0,0,0.0
154,Evan Turner,0,0,9,0,3,0,8,0,0,0.0,0,0.0
155,Trevor Ariza,4,0,18,0,1,0,24,2,0,0.0,2,4.08
156,Cory Joseph,4,1,38,3,3,0,17,2,3,4.41,3,4.41
157,Rodney McGruder,2,0,6,1,1,0,4,3,1,5.88,3,17.65
158,Bucks,2,0,0,0,1,0,8,2,0,0.0,2,15.38
159,Nick Nurse,0,0,1,0,0,0,0,0,0,0.0,0,0.0
160,Zach LaVine,17,0,26,8,24,2,66,8,10,6.62,8,5.3
161,Mike Scott,6,1,10,2,1,0,10,1,2,6.45,2,6.45
162,Jeff Green,2,0,15,0,1,0,8,1,0,0.0,1,3.7
163,Gorgui Dieng,3,0,13,1,3,0,4,1,1,4.0,1,4.0
164,Alize Johnson,0,0,3,0,0,0,1,0,0,0.0,0,0.0
165,Dillon Brooks,12,0,29,2,1,0,24,0,2,2.94,0,0.0
166,Ben Simmons,18,1,59,5,10,0,53,6,5,3.29,7,4.61
167,James Harden,17,1,109,8,53,3,100,8,11,3.68,9,3.01
168,Julian Washburn,0,0,1,0,0,0,1,0,0,0.0,0,0.0
169,Kevin Durant,6,0,13,1,9,0,17,1,1,2.13,1,2.13
170,David Nwaba,2,1,6,0,0,0,3,0,0,0.0,1,8.33
171,Clippers,2,0,1,0,4,0,12,8,0,0.0,8,29.63
172,Duncan Robinson,4,0,9,3,4,0,12,2,3,8.82,2,5.88
173,Darius Garland,1,0,9,4,4,0,10,2,4,13.33,2,6.67
174,Damian Lillard,7,0,52,4,42,0,116,8,4,1.75,8,3.49
