,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
336,Marquese Chriss,0,1,20,0,0,0,4,1,0,0.0,2,7.69
337,Kadeem Allen,0,0,2,0,0,0,2,0,0,0.0,0,0.0
338,Gary Payton II,1,0,0,0,0,0,1,0,0,0.0,0,0.0
339,Spencer Dinwiddie,11,0,49,6,17,0,80,4,6,3.59,4,2.4
340,Ryan Arcidiacono,1,0,3,0,0,1,1,0,1,16.67,0,0.0
341,Cedi Osman,9,0,16,1,4,0,10,2,1,2.38,2,4.76
342,Damyean Dotson,3,0,1,0,0,0,1,0,0,0.0,0,0.0
343,Jakob Poeltl,3,0,15,3,0,0,11,0,3,9.38,0,0.0
344,Tony Snell,4,0,10,0,2,0,8,1,0,0.0,1,4.0
345,Dion Waiters,2,0,7,0,1,0,1,0,0,0.0,0,0.0
346,Gary Trent Jr.,5,0,15,1,3,0,18,0,1,2.38,0,0.0
347,Hamidou Diallo,4,0,1,1,0,0,6,0,1,8.33,0,0.0
348,Thunder,4,0,0,0,9,0,15,3,0,0.0,3,9.68
349,Bol Bol,1,0,0,0,0,0,0,0,0,0.0,0,0.0
350,Kent Bazemore,7,1,24,2,2,0,13,2,2,3.92,3,5.88
351,Nikola Jokic,11,1,98,4,18,1,68,5,5,2.43,6,2.91
352,Nemanja Bjelica,5,0,17,2,4,0,12,0,2,5.0,0,0.0
353,Lonzo Ball,1,0,22,0,2,0,23,1,0,0.0,1,2.04
354,Marvin Bagley III,1,0,6,0,1,0,5,1,0,0.0,1,7.14
355,Terrence Ross,4,0,6,1,2,0,14,1,1,3.57,1,3.57
356,Bulls,2,0,0,1,4,0,9,0,1,6.25,0,0.0
357,Jarrett Allen,9,0,49,5,7,1,22,4,6,6.19,4,4.12
358,Shake Milton,3,0,1,0,0,0,2,0,0,0.0,0,0.0
359,Damian Jones,1,0,1,0,0,0,0,0,0,0.0,0,0.0
360,Andre Drummond,11,0,40,5,5,0,15,2,5,6.41,2,2.56
361,Nicolas Batum,2,0,4,1,0,0,2,0,1,11.11,0,0.0
362,Domantas Sabonis,8,1,60,8,8,0,30,1,8,6.9,2,1.72
363,Cody Zeller,6,0,44,3,7,1,9,1,4,5.63,1,1.41
364,Royce O'Neale,7,0,29,0,1,0,33,2,0,0.0,2,2.78
365,Juan Toscano-Anderson,0,0,3,0,0,0,1,0,0,0.0,0,0.0
366,Jarrett Culver,1,0,1,3,1,0,3,0,3,33.33,0,0.0
367,Shai Gilgeous-Alexander,5,1,35,3,17,2,39,1,5,4.85,2,1.94
368,Derrick Rose,5,0,9,0,4,0,34,1,0,0.0,1,1.89
369,Wendell Carter Jr.,13,0,47,4,11,1,14,1,5,5.49,1,1.1
370,Lauri Markkanen,5,1,23,1,5,0,19,2,1,1.79,3,5.36
371,Tremont Waters,0,0,2,0,0,0,0,0,0,0.0,0,0.0
372,Maurice Harkless,6,0,14,1,1,0,8,0,1,3.33,0,0.0
373,Jaxson Hayes,0,1,12,2,0,0,3,0,2,11.11,1,5.56
374,Frank Ntilikina,6,0,16,2,5,0,15,0,2,4.55,0,0.0
375,Jaylen Brown,8,0,33,0,10,0,36,2,0,0.0,2,2.25
376,Kawhi Leonard,7,2,36,4,8,0,43,1,4,3.96,3,2.97
377,Hawks,3,0,0,0,4,0,7,3,0,0.0,3,17.65
378,Jayson Tatum,16,2,56,3,13,2,70,1,5,3.07,3,1.84
379,Norvel Pelle,2,0,2,1,0,0,1,0,1,16.67,0,0.0
380,Alec Burks,8,0,24,1,9,0,31,1,1,1.35,1,1.35
381,DeMarre Carroll,0,0,1,0,0,0,1,0,0,0.0,0,0.0
382,Nerlens Noel,2,0,12,0,1,0,5,0,0,0.0,0,0.0
383,Thon Maker,1,0,7,0,1,0,10,2,0,0.0,2,9.52
384,Andre Iguodala,1,0,8,1,1,0,5,0,1,6.25,0,0.0
385,Trail Blazers,1,0,0,0,2,0,10,3,0,0.0,3,18.75
386,Terence Davis,0,0,7,0,0,0,1,0,0,0.0,0,0.0
387,Gary Harris,5,1,24,3,9,0,19,3,3,4.69,4,6.25
388,Taurean Prince,6,0,21,0,6,0,22,0,0,0.0,0,0.0
389,Mavericks,4,0,1,0,5,0,20,4,0,0.0,4,11.76
390,Evan Fournier,5,1,18,0,9,2,37,3,2,2.67,4,5.33
391,Pelicans,4,0,0,0,3,0,6,4,0,0.0,4,23.53
392,Lonnie Walker IV,5,0,5,0,2,0,10,0,0,0.0,0,0.0
393,Michael Porter Jr.,2,1,6,0,6,0,2,0,0,0.0,1,5.88
394,Mario Hezonja,2,0,9,0,0,0,6,0,0,0.0,0,0.0
395,John Henson,0,0,3,0,0,0,1,0,0,0.0,0,0.0
396,Trey Burke,2,0,3,0,3,0,5,0,0,0.0,0,0.0
397,Pistons,1,0,0,0,5,0,4,1,0,0.0,1,9.09
398,Andre Roberson,0,1,6,0,0,0,6,1,0,0.0,2,14.29
399,Kyle Kuzma,4,0,15,0,0,0,5,0,0,0.0,0,0.0
400,Caleb Martin,1,1,2,0,0,0,4,0,0,0.0,1,12.5
401,Aron Baynes,3,0,19,1,1,0,12,0,1,2.78,0,0.0
402,Chris Chiozza,0,0,2,0,0,0,2,0,0,0.0,0,0.0
403,Markieff Morris,3,0,5,0,2,0,3,0,0,0.0,0,0.0
404,Alex Len,1,0,21,1,4,0,14,0,1,2.44,0,0.0
405,Brandon Ingram,13,0,29,4,14,0,51,4,4,3.48,4,3.48
406,Romeo Langford,1,0,1,0,1,0,1,0,0,0.0,0,0.0
407,Dwight Howard,2,0,11,2,0,0,3,1,2,10.53,1,5.26
408,Matthew Dellavedova,1,0,9,0,4,0,8,1,0,0.0,1,4.35
409,Patty Mills,7,0,26,2,6,1,23,1,3,4.55,1,1.52
410,Jalen Brunson,5,0,3,1,2,0,7,2,1,5.0,2,10.0
411,Kristaps Porzingis,6,0,38,3,7,0,28,0,3,3.66,0,0.0
412,Tomas Satoransky,11,1,14,0,5,0,19,2,0,0.0,3,5.77
413,Semi Ojeleye,0,0,1,0,0,0,0,0,0,0.0,0,0.0
414,Kevin Hervey,1,0,3,0,0,0,2,0,0,0.0,0,0.0
415,RJ Barrett,7,0,10,0,8,0,17,1,0,0.0,1,2.33
416,Celtics,2,0,2,0,2,0,6,6,0,0.0,6,33.33
417,Bruno Fernando,1,0,0,0,0,0,0,0,0,0.0,0,0.0
418,Derrick Jones Jr.,6,2,11,1,1,0,19,0,1,2.5,2,5.0
419,Victor Oladipo,3,0,10,1,5,0,16,0,1,2.86,0,0.0
420,D.J. Augustin,1,0,0,0,2,0,3,0,0,0.0,0,0.0
421,Jimmy Butler,9,2,65,7,35,1,65,6,8,4.21,8,4.21
422,Derrick Favors,4,0,32,3,2,0,9,0,3,6.0,0,0.0
423,Dario Saric,2,1,9,0,0,0,5,0,0,0.0,1,5.88
424,Jrue Holiday,5,1,33,2,13,0,44,2,2,2.0,3,3.0
425,Davis Bertans,5,0,14,1,1,0,10,2,1,3.03,2,6.06
426,Grayson Allen,2,0,1,0,1,0,3,0,0,0.0,0,0.0
427,Paul George,6,0,25,0,6,0,25,2,0,0.0,2,3.13
428,CJ Miles,0,0,1,0,0,0,0,0,0,0.0,0,0.0
429,Christian Wood,3,0,14,5,3,0,16,0,5,12.2,0,0.0
430,Rui Hachimura,3,0,4,1,1,0,7,0,1,6.25,0,0.0
